id,name,conference,conf_wins,conf_losses,overall_wins,overall_losses,overall_pct,streak
1,Duke,Selection Sunday,0,2,0,0,0,
2,Virginia,Selection Sunday,0,4,0,0,0,
3,Miami (FL),Selection Sunday,0,6,0,0,0,
4,North Carolina,Selection Sunday,0,6,0,0,0,
5,Clemson,Selection Sunday,0,9,0,0,0,
6,Louisville,Selection Sunday,0,9,0,0,0,
7,NC State,Selection Sunday,0,11,0,0,0,
8,California,Selection Sunday,0,9,0,0,0,
9,Florida St.,Selection Sunday,0,14,0,0,0,
10,SMU,Selection Sunday,0,11,0,0,0,
11,Virginia Tech,Selection Sunday,0,11,0,0,0,
12,Stanford,Selection Sunday,0,11,0,0,0,
13,Wake Forest,Selection Sunday,0,15,0,0,0,
14,Syracuse,Selection Sunday,0,15,0,0,0,
15,Notre Dame,Selection Sunday,0,17,0,0,0,
16,Pittsburgh,Selection Sunday,0,19,0,0,0,
17,Boston College,Selection Sunday,0,20,0,0,0,
18,Georgia Tech,Selection Sunday,0,19,0,0,0,
19,UMBC,Selection Sunday,0,8,0,0,0,
20,Vermont,Selection Sunday,0,11,0,0,0,
21,NJIT,Selection Sunday,0,16,0,0,0,
22,UMass Lowell,Selection Sunday,0,17,0,0,0,
23,UAlbany,Selection Sunday,0,20,0,0,0,
24,Maine,Selection Sunday,0,23,0,0,0,
25,New Hampshire,Selection Sunday,0,20,0,0,0,
26,Bryant,Selection Sunday,0,21,0,0,0,
27,Binghamton,Selection Sunday,0,23,0,0,0,
28,South Fla.,Selection Sunday,0,8,0,0,0,
29,Tulsa,Selection Sunday,0,6,0,0,0,
30,Wichita St.,Selection Sunday,0,10,0,0,0,
31,UAB,Selection Sunday,0,11,0,0,0,
32,Fla. Atlantic,Selection Sunday,0,13,0,0,0,
33,Charlotte,Selection Sunday,0,15,0,0,0,
34,North Texas,Selection Sunday,0,13,0,0,0,
35,Tulane,Selection Sunday,0,13,0,0,0,
36,Temple,Selection Sunday,0,14,0,0,0,
37,Memphis,Selection Sunday,0,18,0,0,0,
38,Rice,Selection Sunday,0,18,0,0,0,
39,East Carolina,Selection Sunday,0,19,0,0,0,
40,UTSA,Selection Sunday,0,24,0,0,0,
41,Austin Peay,Selection Sunday,0,8,0,0,0,
42,Central Ark.,Selection Sunday,0,11,0,0,0,
43,Queens (NC),Selection Sunday,0,13,0,0,0,
44,Lipscomb,Selection Sunday,0,13,0,0,0,
45,FGCU,Selection Sunday,0,17,0,0,0,
46,West Ga.,Selection Sunday,0,17,0,0,0,
47,Bellarmine,Selection Sunday,0,19,0,0,0,
48,Jacksonville,Selection Sunday,0,20,0,0,0,
49,Stetson,Selection Sunday,0,21,0,0,0,
50,Eastern Ky.,Selection Sunday,0,21,0,0,0,
51,North Florida,Selection Sunday,0,25,0,0,0,
52,North Ala.,Selection Sunday,0,21,0,0,0,
53,Saint Louis,Selection Sunday,0,3,0,0,0,
54,VCU,Selection Sunday,0,7,0,0,0,
55,Saint Joseph's,Selection Sunday,0,10,0,0,0,
56,Dayton,Selection Sunday,0,10,0,0,0,
57,George Mason,Selection Sunday,0,8,0,0,0,
58,Davidson,Selection Sunday,0,12,0,0,0,
59,George Washington,Selection Sunday,0,13,0,0,0,
60,Duquesne,Selection Sunday,0,14,0,0,0,
61,Rhode Island,Selection Sunday,0,14,0,0,0,
62,Fordham,Selection Sunday,0,14,0,0,0,
63,Richmond,Selection Sunday,0,15,0,0,0,
64,La Salle,Selection Sunday,0,21,0,0,0,
65,St. Bonaventure,Selection Sunday,0,15,0,0,0,
66,Loyola Chicago,Selection Sunday,0,23,0,0,0,
67,Arizona,Selection Sunday,0,2,0,0,0,
68,Houston,Selection Sunday,0,5,0,0,0,
69,Texas Tech,Selection Sunday,0,8,0,0,0,
70,Iowa St.,Selection Sunday,0,6,0,0,0,
71,Kansas,Selection Sunday,0,9,0,0,0,
72,TCU,Selection Sunday,0,10,0,0,0,
73,Cincinnati,Selection Sunday,0,13,0,0,0,
74,UCF,Selection Sunday,0,10,0,0,0,
75,West Virginia,Selection Sunday,0,13,0,0,0,
76,BYU,Selection Sunday,0,10,0,0,0,
77,Colorado,Selection Sunday,0,13,0,0,0,
78,Arizona St.,Selection Sunday,0,14,0,0,0,
79,Oklahoma St.,Selection Sunday,0,12,0,0,0,
80,Baylor,Selection Sunday,0,15,0,0,0,
81,Kansas St.,Selection Sunday,0,18,0,0,0,
82,Utah,Selection Sunday,0,20,0,0,0,
83,St. John's (NY),Selection Sunday,0,6,0,0,0,
84,UConn,Selection Sunday,0,3,0,0,0,
85,Villanova,Selection Sunday,0,7,0,0,0,
86,Seton Hall,Selection Sunday,0,11,0,0,0,
87,Creighton,Selection Sunday,0,16,0,0,0,
88,DePaul,Selection Sunday,0,14,0,0,0,
89,Providence,Selection Sunday,0,16,0,0,0,
90,Butler,Selection Sunday,0,15,0,0,0,
91,Xavier,Selection Sunday,0,16,0,0,0,
92,Marquette,Selection Sunday,0,19,0,0,0,
93,Georgetown,Selection Sunday,0,17,0,0,0,
94,Portland St.,Selection Sunday,0,10,0,0,0,
95,Montana St.,Selection Sunday,0,13,0,0,0,
96,Eastern Wash.,Selection Sunday,0,18,0,0,0,
97,Northern Colo.,Selection Sunday,0,11,0,0,0,
98,Weber St.,Selection Sunday,0,15,0,0,0,
99,Montana,Selection Sunday,0,15,0,0,0,
100,Idaho,Selection Sunday,0,14,0,0,0,
101,Sacramento St.,Selection Sunday,0,20,0,0,0,
102,Idaho St.,Selection Sunday,0,19,0,0,0,
103,Northern Ariz.,Selection Sunday,0,21,0,0,0,
104,High Point,Selection Sunday,0,4,0,0,0,
105,Winthrop,Selection Sunday,0,10,0,0,0,
106,Radford,Selection Sunday,0,16,0,0,0,
107,Longwood,Selection Sunday,0,16,0,0,0,
108,UNC Asheville,Selection Sunday,0,16,0,0,0,
109,Presbyterian,Selection Sunday,0,17,0,0,0,
110,Charleston So.,Selection Sunday,0,17,0,0,0,
111,USC Upstate,Selection Sunday,0,19,0,0,0,
112,Gardner-Webb,Selection Sunday,0,29,0,0,0,
113,Michigan,Selection Sunday,0,2,0,0,0,
