name,conference,power_conf,norm_win_pct,norm_net_rank,norm_trank,norm_barthag,norm_adj_oe,norm_adj_de,norm_adj_margin,norm_adj_tempo,norm_sos,norm_elite_sos,norm_efg_pct,norm_efg_d,norm_tov_pct,norm_tov_d,norm_orb_pct,norm_drb_pct,norm_ft_rate,norm_ft_rate_d,norm_two_pt_pct,norm_three_pt_pct,norm_three_pt_d,norm_blk_pct,norm_stl_pct,norm_avg_hgt,norm_experience,norm_conf_wins,norm_conf_losses,norm_wins,norm_losses,norm_prob_r64,norm_prob_r32,norm_prob_s16,norm_prob_e8,norm_prob_f4,norm_prob_championship,norm_prob_champion,target_seed,target_in_tourney,target_prob_champion,target_region,conf_Selection_Sunday,region_East,region_West,region_South,region_Midwest,region_Play_in,region_—
Duke,Selection Sunday,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034483,0.0,0.0,0.932829,0.977358,0.856115,0.875,0.74026,0.609756,0.609756,1,1,0.0125,East,1,1,0,0,0,0,0
Virginia,Selection Sunday,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.103448,0.0,0.0,0.929991,0.926415,0.877698,0.854167,0.818182,0.95122,0.95122,1,1,0.0195,West,1,0,1,0,0,0,0
Miami (FL),Selection Sunday,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.241379,0.0,0.0,0.922422,0.922642,0.848921,0.861111,0.779221,0.609756,0.609756,1,1,0.0125,South,1,0,0,1,0,0,0
North Carolina,Selection Sunday,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.241379,0.0,0.0,0.926206,0.924528,0.884892,0.951389,0.805195,0.756098,0.756098,1,1,0.0155,Midwest,1,0,0,0,1,0,0
Clemson,Selection Sunday,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.310345,0.0,0.0,0.959319,0.954717,0.888489,0.930556,0.818182,0.731707,0.731707,2,1,0.015,East,1,1,0,0,0,0,0
Louisville,Selection Sunday,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.310345,0.0,0.0,0.962157,0.958491,0.866906,0.840278,0.766234,0.829268,0.829268,2,1,0.017,West,1,0,1,0,0,0,0
NC State,Selection Sunday,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.413793,0.0,0.0,0.969726,0.949057,0.906475,0.826389,0.766234,0.707317,0.707317,2,1,0.0145,South,1,0,0,1,0,0,0
Florida St.,Selection Sunday,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.482759,0.0,0.0,0.965941,0.977358,0.917266,0.930556,1.0,0.97561,0.97561,2,1,0.02,Midwest,1,0,0,0,1,0,0
California,Selection Sunday,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.344828,0.0,0.0,1.0,0.975472,1.0,0.965278,0.948052,0.878049,0.878049,3,1,0.018,East,1,1,0,0,0,0,0
Stanford,Selection Sunday,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37931,0.0,0.0,0.932829,0.903774,0.877698,0.819444,0.688312,0.585366,0.585366,3,1,0.012,West,1,0,1,0,0,0,0
