id,name,abbrev,conference,power_conf,wins,losses,win_pct,conf_wins,conf_losses,streak,ap_rank,net_rank,trank,barthag,adj_oe,adj_de,adj_margin,adj_tempo,sos,elite_sos,ppg,opp_ppg,efg_pct,efg_d,tov_pct,tov_d,orb_pct,drb_pct,ft_rate,ft_rate_d,two_pt_pct,three_pt_pct,three_pt_d,blk_pct,stl_pct,avg_hgt,experience,seed_score,projected_seed,projected_region,prob_r64,prob_r32,prob_s16,prob_e8,prob_f4,prob_championship,prob_champion
1,Duke,DUKE,Selection Sunday,0,0,0,0,0,2,,999,200,200,0.5,100.0,100.0,0.0,67.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1,East,0.493,0.259,0.119,0.063,0.0285,0.0125,0.0125
2,Virginia,VIRGIN,Selection Sunday,0,0,0,0,0,4,,999,200,200,0.5,100.0,100.0,0.0,67.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1,West,0.4915,0.2455,0.122,0.0615,0.0315,0.0195,0.0195
3,Miami (FL),MIAMI,Selection Sunday,0,0,0,0,0,8,,999,200,200,0.5,100.0,100.0,0.0,67.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1,South,0.4875,0.2445,0.118,0.062,0.03,0.0125,0.0125
4,North Carolina,NORTH,Selection Sunday,0,0,0,0,0,8,,999,200,200,0.5,100.0,100.0,0.0,67.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1,Midwest,0.4895,0.245,0.123,0.0685,0.031,0.0155,0.0155
5,Clemson,CLEMSO,Selection Sunday,0,0,0,0,0,10,,999,200,200,0.5,100.0,100.0,0.0,67.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2,East,0.507,0.253,0.1235,0.067,0.0315,0.015,0.015
6,Louisville,LOUISV,Selection Sunday,0,0,0,0,0,10,,999,200,200,0.5,100.0,100.0,0.0,67.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2,West,0.5085,0.254,0.1205,0.0605,0.0295,0.017,0.017
7,NC State,NCSTA,Selection Sunday,0,0,0,0,0,13,,999,200,200,0.5,100.0,100.0,0.0,67.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2,South,0.5125,0.2515,0.126,0.0595,0.0295,0.0145,0.0145
8,Florida St.,FLORID,Selection Sunday,0,0,0,0,0,15,,999,200,200,0.5,100.0,100.0,0.0,67.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2,Midwest,0.5105,0.259,0.1275,0.067,0.0385,0.02,0.02
9,California,CALIFO,Selection Sunday,0,0,0,0,0,11,,999,200,200,0.5,100.0,100.0,0.0,67.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3,East,0.5285,0.2585,0.139,0.0695,0.0365,0.018,0.018
10,Stanford,STANFO,Selection Sunday,0,0,0,0,0,12,,999,200,200,0.5,100.0,100.0,0.0,67.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3,West,0.493,0.2395,0.122,0.059,0.0265,0.012,0.012
11,SMU,SMU,Selection Sunday,0,0,0,0,0,13,,999,200,200,0.5,100.0,100.0,0.0,67.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3,South,0.4965,0.249,0.1245,0.0625,0.0305,0.0155,0.0155
12,Virginia Tech,VIRGIN,Selection Sunday,0,0,0,0,0,13,,999,200,200,0.5,100.0,100.0,0.0,67.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3,Midwest,0.4865,0.236,0.1205,0.0605,0.029,0.015,0.015
